
"Aspiration Driven Transformation (ADT)","When was the New Economic Policy framed? State its features?","1991.
Liberalization
Privatization and Globalization. 
Opening up of Telecom service sector (Mobile - metros)."
"Aspiration Driven Transformation (ADT)","When was National Telecom Policy framed? State its aim?","1994. Private sector to supplement Government. Provide world class telecom service at affordable cost."
"Aspiration Driven Transformation (ADT)","In FY 2008-09 BSNL earned maximum revenue from which of the following services?","Mobile"
"Aspiration Driven Transformation (ADT)","What is SWOT analysis?","It is a decision-making tool"
"Aspiration Driven Transformation (ADT)","Full form of SWOT analysis is","Strength, Weakness, Opportunities and Threats"
"Aspiration Driven Transformation (ADT)","The six projects under the Head Shikhar are...","Udaan, Dosti, Vijay, Kuber, Sanchay, Smile."
"Aspiration Driven Transformation (ADT)","Udaan is associated with and focused on...","Udaan associated with CFA (LL&BB) and had a focus on
a. Retain old customer
b. Increase of revenue from the existing customer
c. Get a new customer"
"Aspiration Driven Transformation (ADT)","Dosti is associated with and focused on...","Dosti is associated with PCO and had a focus on for the PCO promotion & PCO relationship servicing agent."
"Aspiration Driven Transformation (ADT)","Vijay is associated with and focused on...","Vijay associated with CM and had the focus on Marketing of Mobile Services."
"Aspiration Driven Transformation (ADT)","Kuber id associated with and focused on...","Kuber associated with Billing & Collections EW/EWS and had a focus on
a. Revenue assurance & Key Customers
b. Timely Billing and Collection of circuits"
"Aspiration Driven Transformation (ADT)","Smile is associated with and focused on...","Smile associated with CSC and had a focus on Customer Care"
"Aspiration Driven Transformation (ADT)","Sanchay is associated with and focused on...","Sanchay associated with Savings and had a focus on
a. Savings
b. Fuel cost saving
c. Cutting down operational expenses on Infrastructure."
"Aspiration Driven Transformation (ADT)","The ADT was focusing for the year...","2013"
"Aspiration Driven Transformation (ADT)","What is the function of TMO (Transformation Management Office?","It is doing the restructure."
"Aspiration Driven Transformation (ADT)","As per the findings of BCG, the reason for lack of focus of the people was mainly because of","Lack of shared vision"
"Aspiration Driven Transformation (ADT)","The initiative as the result of ADT is known as:","Project Shikhar"
"Aspiration Driven Transformation (ADT)","The improving the marketing of Mobile Services was focused through","Project Vijay"
"Aspiration Driven Transformation (ADT)","In Phase I of the Project Shikhar, the initiative focusing on Revenue Assurance and Key Customers has been nicknamed as",""
"Aspiration Driven Transformation (ADT)","For ensuring a timely billing project name is...","Kuber"
"Aspiration Driven Transformation (ADT)","In Phase I of the Project Shikhar, the initiative focusing on fuel cost saving has been nicknamed as...","Project Sanchay"
"Aspiration Driven Transformation (ADT)","In the new restructure, the Long-Distance Networks are brought under...","DIR Enterprise"
"Aspiration Driven Transformation (ADT)","Savings on operational expenses on infrastructure monitored through...","Project Sanchay"
"Aspiration Driven Transformation (ADT)","The Transformation Management Office (TMO) at BSNL HO is headed by...","GM (Restructuring) (Also known as Corporate Restructuring)"
"Aspiration Driven Transformation (ADT)","The transformation Management office at BSNK HO is handled by…","GM (Corporate Restructuring)"
"Aspiration Driven Transformation (ADT)","KPI stands for...","Key Performance Indicator"
"Aspiration Driven Transformation (ADT)","Which one of the following is a shared functionality throughout the organization?","HR"
"Aspiration Driven Transformation (ADT)","What is the management tool used for monitoring the performance of a unit?","GPMS"
"Aspiration Driven Transformation (ADT)","As part of Project Shikhar, the project Sanchay is concerned with'","Fuel cost"
"Aspiration Driven Transformation (ADT)","Project Sanchay is concerned with...","Nil"
"Aspiration Driven Transformation (ADT)","The term CM stands for...","Consumer Mobility"
"Aspiration Driven Transformation (ADT)","The term GPMS stands for...","Group Performance Management System"
"Aspiration Driven Transformation (ADT)","The term KRA stands for...","Key Result Area / Key Responsibility Area"
"Aspiration Driven Transformation (ADT)","The term KPI stands for...","Key Performance Indicator(s)"
"Aspiration Driven Transformation (ADT)","As per the data available for Sep 2009, the overall market share of BSNL is","Nil"
"Aspiration Driven Transformation (ADT)","Up to 2007 what was the Vision and Mission of BSNL?","Vision: To become the largest telecom Service Provider in Asia.
Mission:
a. To provide world class State-of-art technology telecom services on demand at competitive prices.
b. To provide world class telecom infrastructure in its area of operation and to contribute to the growth of the country's economy."
"Aspiration Driven Transformation (ADT)","For identifying and introducing the desired change an _____________ was appointed in the year ________________.","International consultant M/s BCG, 2008"
"Aspiration Driven Transformation (ADT)","BSNL's market share as well as profitability has shown a declining trend due to the factors such.","
a. Lack of shared vision among employees
b. Inability to see a big picture
c. Too broad structure
d. Lack of documented role, responsibility and accountability matrix
e. Legacy process"
